id,Broker,Date,Value
Initia_Real_Estate_1512,Initia Real Estate,2021-10-31,
Initia_Real_Estate_1513,Initia Real Estate,2021-11-30,
Initia_Real_Estate_1514,Initia Real Estate,2021-12-31,
Initia_Real_Estate_1515,Initia Real Estate,2020-01-31,
Initia_Real_Estate_1516,Initia Real Estate,2020-02-29,
Initia_Real_Estate_1517,Initia Real Estate,2020-03-31,
Initia_Real_Estate_1518,Initia Real Estate,2020-04-30,
Initia_Real_Estate_1519,Initia Real Estate,2020-05-31,
Initia_Real_Estate_1520,Initia Real Estate,2020-06-30,
Initia_Real_Estate_1521,Initia Real Estate,2020-07-31,
Initia_Real_Estate_1522,Initia Real Estate,2020-08-31,
Initia_Real_Estate_1523,Initia Real Estate,2020-09-30,
Initia_Real_Estate_1524,Initia Real Estate,2020-10-31,
Initia_Real_Estate_1525,Initia Real Estate,2020-11-30,
Initia_Real_Estate_1526,Initia Real Estate,2020-12-31,
Initia_Real_Estate_1527,Initia Real Estate,2019-01-31,
Initia_Real_Estate_1528,Initia Real Estate,2019-02-28,
Initia_Real_Estate_1529,Initia Real Estate,2019-03-31,
Initia_Real_Estate_1530,Initia Real Estate,2019-04-30,
Initia_Real_Estate_1531,Initia Real Estate,2019-05-31,
Initia_Real_Estate_1532,Initia Real Estate,2019-06-30,
Initia_Real_Estate_1533,Initia Real Estate,2019-07-31,
Initia_Real_Estate_1534,Initia Real Estate,2019-08-31,
Initia_Real_Estate_1535,Initia Real Estate,2019-09-30,
Initia_Real_Estate_1536,Initia Real Estate,2019-10-31,
Initia_Real_Estate_1537,Initia Real Estate,2019-11-30,
Initia_Real_Estate_1538,Initia Real Estate,2019-12-31,
Initia_Real_Estate_1539,Initia Real Estate,2018-01-31,
Initia_Real_Estate_1540,Initia Real Estate,2018-02-28,
Initia_Real_Estate_1541,Initia Real Estate,2018-03-31,
Initia_Real_Estate_1542,Initia Real Estate,2018-04-30,
Initia_Real_Estate_1543,Initia Real Estate,2018-05-31,
Initia_Real_Estate_1544,Initia Real Estate,2018-06-30,
Initia_Real_Estate_1545,Initia Real Estate,2018-07-31,
Initia_Real_Estate_1546,Initia Real Estate,2018-08-31,
Initia_Real_Estate_1547,Initia Real Estate,2018-09-30,
Initia_Real_Estate_1548,Initia Real Estate,2018-10-31,
Initia_Real_Estate_1549,Initia Real Estate,2018-11-30,
Initia_Real_Estate_1550,Initia Real Estate,2018-12-31,
Initia_Real_Estate_1551,Initia Real Estate,2017-01-31,
MaxWell_Devonshire_Realty_1552,MaxWell Devonshire Realty,2024-01-31,112.0
MaxWell_Devonshire_Realty_1553,MaxWell Devonshire Realty,2024-02-29,119.0
MaxWell_Devonshire_Realty_1554,MaxWell Devonshire Realty,2024-03-31,117.0
MaxWell_Devonshire_Realty_1555,MaxWell Devonshire Realty,2024-04-30,118.0
MaxWell_Devonshire_Realty_1556,MaxWell Devonshire Realty,2024-05-31,119.0
MaxWell_Devonshire_Realty_1557,MaxWell Devonshire Realty,2024-06-30,119.0
MaxWell_Devonshire_Realty_1558,MaxWell Devonshire Realty,2024-07-31,117.0
MaxWell_Devonshire_Realty_1559,MaxWell Devonshire Realty,2024-08-31,117.0
MaxWell_Devonshire_Realty_1560,MaxWell Devonshire Realty,2024-09-30,113.0
MaxWell_Devonshire_Realty_1561,MaxWell Devonshire Realty,2024-10-31,113.0
MaxWell_Devonshire_Realty_1562,MaxWell Devonshire Realty,2024-11-30,111.0
MaxWell_Devonshire_Realty_1563,MaxWell Devonshire Realty,2024-12-31,107.0
MaxWell_Devonshire_Realty_1564,MaxWell Devonshire Realty,2023-01-31,107.0
MaxWell_Devonshire_Realty_1565,MaxWell Devonshire Realty,2023-02-28,105.0
MaxWell_Devonshire_Realty_1566,MaxWell Devonshire Realty,2023-03-31,103.0
MaxWell_Devonshire_Realty_1567,MaxWell Devonshire Realty,2023-04-30,102.0
MaxWell_Devonshire_Realty_1568,MaxWell Devonshire Realty,2023-05-31,106.0
MaxWell_Devonshire_Realty_1569,MaxWell Devonshire Realty,2023-06-30,106.0
MaxWell_Devonshire_Realty_1570,MaxWell Devonshire Realty,2023-07-31,106.0
MaxWell_Devonshire_Realty_1571,MaxWell Devonshire Realty,2023-08-31,107.0
MaxWell_Devonshire_Realty_1572,MaxWell Devonshire Realty,2023-09-30,107.0
MaxWell_Devonshire_Realty_1573,MaxWell Devonshire Realty,2023-10-31,104.0
MaxWell_Devonshire_Realty_1574,MaxWell Devonshire Realty,2023-11-30,102.0
MaxWell_Devonshire_Realty_1575,MaxWell Devonshire Realty,2023-12-31,101.0
MaxWell_Devonshire_Realty_1576,MaxWell Devonshire Realty,2022-01-31,101.0
MaxWell_Devonshire_Realty_1577,MaxWell Devonshire Realty,2022-02-28,102.0
MaxWell_Devonshire_Realty_1578,MaxWell Devonshire Realty,2022-03-31,102.0
MaxWell_Devonshire_Realty_1579,MaxWell Devonshire Realty,2022-04-30,100.0
MaxWell_Devonshire_Realty_1580,MaxWell Devonshire Realty,2022-05-31,98.0
MaxWell_Devonshire_Realty_1581,MaxWell Devonshire Realty,2022-06-30,98.0
MaxWell_Devonshire_Realty_1582,MaxWell Devonshire Realty,2022-07-31,98.0
MaxWell_Devonshire_Realty_1583,MaxWell Devonshire Realty,2022-08-31,94.0
MaxWell_Devonshire_Realty_1584,MaxWell Devonshire Realty,2022-09-30,95.0
MaxWell_Devonshire_Realty_1585,MaxWell Devonshire Realty,2022-10-31,95.0
MaxWell_Devonshire_Realty_1586,MaxWell Devonshire Realty,2022-11-30,93.0
MaxWell_Devonshire_Realty_1587,MaxWell Devonshire Realty,2022-12-31,94.0
MaxWell_Devonshire_Realty_1588,MaxWell Devonshire Realty,2021-01-31,91.0
MaxWell_Devonshire_Realty_1589,MaxWell Devonshire Realty,2021-02-28,91.0
MaxWell_Devonshire_Realty_1590,MaxWell Devonshire Realty,2021-03-31,94.0
